0-core-client (1.1.0a5)                                                 - Zero-OS 0-core client
aa-intercom (1.0.1)                                                     - Django integration for Intercom API
aa_airtable (0.2)                                                       - Airtable integration for Django-based projects
aa_stripe (0.2.13)                                                      - Stripe integration for Django-based projects
aaaarg-python (0.12)                                                    - Python interface for aaaarg
aaargh (0.7.1)                                                          - An astonishingly awesome application argument helper
aacgmv2 (2.0.0)                                                         - A Python wrapper for AACGM-v2 magnetic coordinates
aactivator (1.0.0)                                                      - Automatically activate Python virtualenvs (and other environments).
aadict (0.2.3)                                                          - An auto-attribute dict (and a couple of other useful dict functions)
ckanext-aaf (0.0.8)                                                     - Authentication via AAF Rapid Connect
aaispy (0.0.3)                                                          - Python wrapper around the deprecated Andrews & Arnold API
aakbar (0.7.3)                                                          - Amino-Acid k-mer Phylogenetic Signature Tools
python-aalib (0.3.2)                                                    - interface to AAlib
aaltopoiju (0.0.3)                                                      - Screen scraper for aaltopoiju.fi
aam (0.1.5)                                                             - a lightweight about-me-site generator
Aap (1.0)                                                               - A portable build tool (make replacement) with internet support
aardvark-py (5.15.2)                                                    - TotalPhase Aardvark Python API
aarpy (0.1)                                                             - Python Connector for AutomaticApiRest
aartfaac-arthur (0.5)                                                   - AARTFAAC visualisation utilities
aliyun-python-sdk-aas (2.0.0)                                           - The aas module of Aliyun Python sdk.
ab-ble-gateway-sdk-python (0.0.1)                                       - ab ble gatwway sdk
aba (0.2)                                                               - Python library to generate ABA (Cemtext) files.
django-auth-abakus (1.1.0)                                              - A django auth module that can be used to to authenticate users against the API of abakus.no.
abaparser (0.1)                                                         - UNKNOWN
abathur (1.0.1)                                                         - Template manager
abbreviate (0.1.1)                                                      - Automatically abbreviate text
micropython-abc (0.0.1)                                                 - Dummy abc module for MicroPython
abcd (0.3.0)                                                            - AeroGear Build Cli for Digger
abclient (0.2.3)                                                        - Python client library for EISOO AnyBackup API
abcmd (0.2.0)                                                           - ABCs and Mixins for wrapping CLI commands with static configuration.
abcpmc (0.1.2)                                                          - approximate bayesian computing with population monte carlo
abcpy (0.2.2)                                                           - A framework for approximate Bayesian computation (ABC) that speeds up inference by parallelizing computation on single computers or whole clusters.
abduct (2.0.1)                                                          - Capture stdout/stderr and optionally release when an exception occurs.
abe-mocks (0.1.0)                                                       - Parse ABE files for usage within python tests
abe-python (0.4.0)                                                      - Parse ABE files for usage within python tests
abenity (0.0.3)                                                         - Abenity API client
aberdeen (0.4.0)                                                        - Conversion from markdown files to database entries to use as the backend of a blog
aberquota (1.1)                                                         - Python3 tool for getting internet usage off the Aberystwyth University network
ethereum-abi-utils (0.4.0)                                              - Ethereum ABI Utils
abifpy (0.9)                                                            - abifpy is a module for reading ABI Sanger sequencing trace files.
abilian-sbe (0.4.dev2)                                                  - Social Business platform, including: document management, wiki, forum, enterprise social networking, and more
