0-core-client (1.1.0a5)                                                 - Zero-OS 0-core client
apush (0.2.3)                                                           - A simple Apple push notification service provider
apy (0.2.3)                                                             - Pythonic API development with flask
stagecoach-apy (1.1.4)                                                  - Python RESTful API Framework
apy-users (1.0.0)                                                       - Provides user management and API authentication for your apy project
APy2 (0.1)                                                              - Versatile API manager for python
apyclient (0.3.1)                                                       - A Python Api Client
cubicweb-apycot (1.10.0)                                                - Continuous testing / integration tool for the CubicWeb framework
apycot (3.4.2)                                                          - Continuous testing / integration tool for the CubicWeb framework
Apydia (0.0.2)                                                          - API Reference Documentation Generator for Python
apyio (0.2.0)                                                           - Async wrappers for standard Python io streams.
apyori (1.1.1)                                                          - Simple Apriori algorithm Implementation.
apyrtium (0.1)                                                          - Python Client Library for the Apertium Machine Translation API
apys (0.5.2)                                                            - A simple back-end rest framework in python using aiohttp lib
apysignature (0.1.3)                                                    - Python implementation of the Ruby Signature library (https://github.com/mloughran/signature)
python-aqbanking (0.0.4)                                                - This is a python wrapper for AqBanking
python-aqi (0.5.1)                                                      - A library to convert between AQI value and pollutant concentration (µg/m³ or ppm)
aqicn (0.1)                                                             - Python SDK for aqicn.org API
aqizh (0.2)                                                             - Python API for AQI in China
AQoPA (0.9.5)                                                           - Automated Quality of Protection Analysis Tool for QoP-ML models.
aqua-io (0.1.0)                                                         - Official Aqua.io API library client for Python
aquarium (2.3)                                                          - Web Application Framework
Aquarius (0.1)                                                          - Aquarium IoT
aquests (0.7.6.3)                                                       - Asynchronous Multiplexing HTTP2/DBO Requests
aquifer (1.1.0)                                                         - Metrics send/query abstraction layer with URI-based backend configuration
aquire (0.0.4)                                                          - A python library that allow to download files from internet and show progress to the console.
ar-markers (0.4.1)                                                      - A python robotic framework and tools
django-ar-organizations (0.2.10)                                        - Group accounts for Django
arabic-reshaper (2.0.8)                                                 - Reconstruct Arabic sentences to be used in applications that don't support Arabic
arabicscript (0.1.4)                                                    - Tools for Arabic script
arachnado (0.2)                                                         - Scrapy-based Web Crawler with an UI
Arachne (0.5.0)                                                         - API for Scrapy spiders
arachnid (0.1.7)                                                        - Single Particle Data Analysis Suite
django-arakoon-cache (0.1.0)                                            - Arakoon cache backend for Django.
arango-orm (0.2.2)                                                      - A SQLAlchemy like ORM implementation for arangodb
arango (0.2.1)                                                          - Driver for ArangoDB
python-arango (3.8.0)                                                   - Python Driver for ArangoDB
Flask-Arangodb (1.0.4)                                                  - Flask extension for ArangoDB using python-arango
arangodb (0.0.12)                                                       - A Python client for ArangoDB REST API.
aranha (0.1.1)                                                          - simple gevent based web spider and tools
arbalest (1.6.2)                                                        - Arbalest orchestrates bulk data loading for Amazon Redshift
arbiter (0.3.0)                                                         - A task-dependency solver
arbitools (0.977)                                                       - Chess Arbiter Tools
arboris (0.1.0pre7)                                                     - A rigid body dynamics and contacts simulator written in python.
arborq (0.9.7)                                                          - A Python package to query Arbor PeakFlow SP devices.
arbytmap (0.6.2)                                                        - A power-of-2 texture manipulation module for python 3.
arc (0.0.1b0)                                                           - Wrapper for Arc's various APIs
py-arc-identifiers (0.3.1)                                              - generate Arc UUIDs in python
arc_cache (0.1.1)                                                       - Memoization decorator using an adaptive replacement cache.
arcade (1.1.0)                                                          - Arcade Game Development Library
ARCCSSive (0.3.1)                                                       - ARCCSS Data Archive Tools
django-arcgis-marketplace (0.0.6)                                       - Arcgis marketplace app.
arcgis-sdk (0.0.12)                                                     - Python SDK for Arcgis API
arcgis-rest-query (0.14)                                                - A tool to download a layer from an ArcGIS web service as GeoJSON
arch (4.1)                                                              - ARCH for Python
django-archan (0.0.4)                                                   - A Django app that displays dependency matrices and project architecture information
archan (2.0.1)                                                          - Analysis of your architecture strength based on DSM data.
archangel (0.3)                                                         - An experimental webserver based off tulip (pep-3156)
archer (0.5)                                                            - Thrift app the flask way
archery (0.1.5)                                                         - Traits (Mixins) to give +,/,-,* to MutableMapping
arches (4.0b3)                                                          - Arches is a new, open-source, web-based, geospatial information system for cultural heritage inventory and management.
arches_hip (1.0.4)                                                      - The Heritage Information Package (HIP)
archetypes.gridfield (0.1a1)                                            - Datagrid for Archetypes content, rows based on z3c.form
archetypes.ldapstorage (0.1a1)                                          - LDAP Storage for Archetypes
archetypes.referencebrowserwidget (2.5.9)                               - A referencebrowser implementation for Archetypes
archetypes.schemaextender (2.1.7)                                       - Dynamically extend Archetypes schemas with named adapters.
archetypes.schematuning (1.2)                                           - More Speed with cached Archetypes Schemas.
archgenxml (2.6)                                                        - UML to code generator for Plone
archicow (0.0.1.alpha1)                                                 - Backup system supporting copy-on-write storage.
archieml (0.3.2)                                                        - Python parser for the Archie Markup Language (ArchieML)
architect (0.5.6)                                                       - A set of tools which enhances ORMs written in Python with more features
Archive (0.3)                                                           - Simple library that provides a common interface for extracting zip and tar archives.
cnx-archive (2.5.1)                                                     - An archive for Connexions documents.
python-archive (0.2)                                                    - Simple library that provides a common interface for extracting zip and tar archives.
archive-rotator (0.2.1)                                                 - Flexible utility for rotating backup files.
xml-archive-to-pdf (1.1.1)                                              - Transformation d'un fichier xml de type unistra:archive en fichier pdf
archiveis (0.0.4)                                                       - A simple Python wrapper for the archive.is capturing service.
archivenow (2017.3.1.4.15.20)                                           - A Python library to push web resources into public web archives
tweet-archiver (0.2)                                                    - Get full Tweet metadata given a list of status IDs.
pypi-cdn-log-archiver (0.1.9)                                           - log archiver for pypi cdn logs
BASC-Archiver (0.9.7)                                                   - Makes a complete archive of imageboard threads including images, HTML, and JSON.
archives_org_latin_toolkit (0.0.2)                                      - Tools to parse and search across http://www.cs.cmu.edu/~dbamman/latin.html
archook (1.2.0)                                                         - Locates arcpy and makes it available to the running python distribution
arclib (0.1)                                                            - A unified API for accessing Python's compression formats
arcode (0.1)                                                            - A module providing arithmetic coding to compress/decompress files.
arcomm (2.1.0)                                                          - Library for connecting to Arista switches
arconfig (0.1.2)                                                        - Load and gen configuration for argparse
arcpy_metadata (0.5)                                                    - Python metadata editing classes for ArcGIS feature classes.
ArcREST-Package (3.5.9)                                                 - ArcREST is a Python Wrapper for the Esri REST Framework
geonode-arcrest (10.2)                                                  - Wrapper to the ArcGIS REST API, and a Python analogue to the Javascript APIs. Modified to have a version number more pypi friendly by the GeoNode team.
arcrest (10.3)                                                          - Wrapper to the ArcGIS REST API, and a Python analogue to the Javascript APIs
arcs.gsi (1.2dev-20091120)                                              - Library to assist GSI authentication and certificate handling in python.
arcsightrest (1.2)                                                      - Python library to connect to the HP Arcsight Logger REST API
django-arctic (0.9.7)                                                   - Django framework to create custom content management systems
arctic (1.48.0)                                                         - AHL Research Versioned TimeSeries and Tick store
arcus (0.2.8)                                                           - Python client for the Arcus Cloud
ArcUtils (0.1.0)                                                        - ARC Projects utility package
ardaemon (1.0)                                                          - A library for running Python programs as Unix daemons.
ardpy (1.1.0)                                                           - package for raspberry pi i2c communication with Arduino
ardtools (0.1.0a2)                                                      - Tools to control Mac OS X Screen Sharing from the Command         Line
ardu (0.1)                                                              - description
arduino-timer-one (1.1.post1)                                           - Python packaging of an Arduino library for configuring the  hardware timer called Timer1 on various Arduino-compatible boards. The original library is available here: https://github.com/PaulStoffregen/TimerOne
arduino-python (0.2)                                                    - A light-weight Python library that provides a serial       bridge for communicating with Arduino microcontroller boards
arduino-sketch (0.2)                                                    - Compile and upload Arduino sketches from command line
automate-arduino (0.9.2)                                                - Arduino Support for Automate
arduino-rpc (1.7.post23)                                                - Code generation for memory-efficient remote-procedure-calls between a host CPU (Python) and a device (C++) (e.g., Arduino).
arduino_device (1.0)                                                    - Interface to arduino devices with auto creation of class methods with arduino commands and auto discovery of available Arduinos in Linux, Windows, and Mac OS X
arduino_testsuite (0.2.2f)                                              - Arduino TestSuite for automated Arduino Unit Testing
arduinoserial (1.0.1)                                                   - A Python interface to Arduino serial ports.
ardurpc (0.3)                                                           - An extensible library to control microcontroller boards like Arduino using Python and the ArduRPC protocol
Ardy (0.0.3)                                                            - AWS Lambda toolkit
lizards-are-awesome (0.4.0)                                             - UNKNOWN
area (1.1.0)                                                            - Calculate the area inside of any GeoJSON geometry. This is a port of Mapbox'sgeojson-area for Python
area-under-curve (1.0.1)                                                - Calculate area under curve
Area53 (0.94)                                                           - Python Interface to Route53
arecibo (0.1.3)                                                         - Connector from Python to Arecibo
areciboware (1.0b1)                                                     - Arecibo error logging WSGI middleware
aredis (1.0.8)                                                          - Python async client for Redis key-value store
arena (0.0.4)                                                           - python interface to the are.na api
ArenaPy (0.1.0)                                                         - A simple python interface to the Are.na api
areplay (0.6)                                                           - Apache Log live replicator
ares (0.3)                                                              - A python wrapper around cve.circl.lu
ares_util (0.1.12)                                                      - A tool for information system allowing a retrieval of information on economic entities registered in the Czech Republic (ARES - Access to Registers of Economic Subjects / Entities).
CHIP-aREST (0.2.0)                                                      - A module to control the CHIP IO channels via a REST API
areyoustillthere (0.1.1)                                                - Find dem emails yo.
arfcnreference (0.1)                                                    - A python module for referencing ARFCNs in GSM
arff (0.9)                                                              - Python package for reading and writing Weka arff files
liac-arff (2.1.1)                                                       - A module for read and write ARFF files in Python.
arfile (0.001)                                                          - A pure python library for reading and writing ar format archives.
argcheck (0.0.2)                                                        - Argument check decorator
argcommand (0.2)                                                        - A Python module that provides simple object-oriented abstraction layer for creating command-line interfaces.
argcompd (0.9.0.1)                                                      - A package providing automated shell completion support for argparse.
auto-argcomplete (0.9.7)                                                - Auto argument completion for script with argparse.
argcomplete (1.8.2)                                                     - Bash tab completion for argparse
argdeclare (0.5.6)                                                      - Argdeclare is a declarative argument configurator for python's argparse.
argdispatch (0.2.0)                                                     - A drop-in replacement for `argparse` dispatching subcommand calls to functions, modules or binaries.
sphinxcontrib-argdoc (0.1.3)                                            - Sphinx
argfarce (1.1)                                                          - Declarative wrapper for argparse
argh (0.26.2)                                                           - An unobtrusive argparse wrapper with natural syntax
arghelper (0.4.2)                                                       - Python argparse helper module
arglog (2017.6.2)                                                       - Arglog
argmap (1.0.1)                                                          - Descriptive python argument parsing
Flask-Argon2 (0.1.2.1)                                                  - Flask-Argon2 provides convenient wrappers for Argon2 password hashing
argon2 (0.1.10)                                                         - Bindings for the argon2 password hasher
argon2_cffi (16.3.0)                                                    - The secure Argon2 password hashing algorithm.
argon2pure (1.3)                                                        - Pure python implementation of the ARGON2 password hash
Argonaut (0.3.4)                                                        - Lightweight Pylons powered blogging engine.
django-argonauts (1.2.0)                                                - A lightweight collection of JSON helpers for Django.
argopt (0.3.1)                                                          - doc to argparse driven by docopt
argpar (1.2.1)                                                          - A simple arugments parser.
argparse-oappend (0.0.1)                                                - An append action for argparse that overrides the default.
argparse-safe (1.0.0)                                                   - Safely transitively depend on argparse
argparse-prompt (0.0.2)                                                 - Wrapper for the built-in Argparse, allowing missing command-line arguments to be filled in by the user via interactive prompts
miniconfig-argparse (0.0.4)                                             - argparser factory for miniconfig
micropython-argparse (0.3.3)                                            - argparse module for MicroPython
argparse-autogen (1.4)                                                  - Parser with automatic creation of parsers and subparsers for paths.
argparse (1.4.0)                                                        - Python command-line parsing library
argparse.extra (0.0.2)                                                  - Additional classes for argparse
argparse2 (0.5.0-alpha1)                                                - Fork of Python's argparse to add features and simplify its code
argparse2tool (0.4.3.post2)                                             - Instrument for forming Galaxy XML and CWL tool descriptions from argparse arguments
argparsedialog (1.4)                                                    - Python library converting argparse to Wizzard using dialog.
ArgParseInator (1.0.18)                                                 - Decorators and wrapper makes argparse and CLI more easy
argparseweb (0.1.3)                                                     - Automatic exposure of argparse-compatible scripts as a web interface
argpext (1.3.2)                                                         - Argpext: multilevel command line interface.
decorator-args (1.1)                                                    - Optional/required/keyword-only decorator arguments made easy.
kwonly-args (1.0.10)                                                    - Python2 keyword-only argument emulation as a decorator. Python 3 compatible.
argscript (0.5)                                                         - Generate argparse parser from function definitions.
argskwargs (1.0.3)                                                      - flexible container for positional and keyword arguments
argspander (0.1.3)                                                      - Argument expansion of objects
argsrun (0.0.2)                                                         - Simple tool for creating commands & sub-commands
argtoolbox (0.1.2)                                                      - The easy way to create a short program with file options and command line options.
argtools (0.1.5)                                                        - Building command line tools with minimal effort by decorators
dont-argue (0.1.3)                                                      - Dead-simple command line argument parsing
argument (1.4.0)                                                        - Command line argument parsing library for python
argumented (1.1)                                                        - Multiply test cases or functions into several functions with argument sets
argumentparser (1.2.1)                                                  - Python 2/3 compatible commandline argument parser
argumentsprocessor (1.1.6)                                              - A Python module that process a dictionary of arguments against a supplied dictionary of expected arguments.
argunparse (0.1.0.dev0)                                                 - argunparse is intended to perform approximate reverse of argparse
argus (0.0.9)                                                           - Helper routines for using multiple, inexpensive calibrated and synchronized cameras for 3D scientific use.
arguspy (1.3.0)                                                         - Common interface of tons protocals, used for monitoring tools, like nagios/icinga...
argutils (0.3.2)                                                        - Functions to build matched argument parsers and config files
argv (0.0.3)                                                            - Simpler command line argument parsing
argvalidate (0.9.0)                                                     - Simple argument validator library
argvee (0.4.4)                                                          - Easily parse command line argument by virtue of the functions defined in the module
argy (0.0.2)                                                            - Simple tool for creating CLI applications
codet-ari (0.0.1)                                                       - Library for accessing the Asterisk REST Interface
python-ari (0.0.1)                                                      - Python binding for ARI
ari (0.1.3)                                                             - Library for accessing the Asterisk REST Interface
ariane_clip3 (0.1.6b2)                                                  - Ariane Python API Library
ariblib (0.0.5)                                                         - python implementation of arib-std-b10 and arib-std-b24
arip (1.0.2)                                                            - ARIP, software to quantify bacterial resistance to antibiotics by analysing picture of phenotypic plates
arista (0.9.7)                                                          - An easy multimedia transcoder for GNOME
robotframework-aristalibrary (1.0)                                      - Python Robot Framework Library for EOS devices
aristotle-metadata-registry (1.5.5)                                     - Aristotle-MDR is an open-source metadata registry as laid out by the requirements of the IEC/ISO 11179:2013 specification.
aristoxenus (0.1.0)                                                     - Library for music data and humdrum parsing
arithmetic (0.5)                                                        - Arithmetic module
ArithmeticInterval (0.1.0)                                              - A Python Arithmetic Interval Module
ark (3.0.1)                                                             - A static website generator.
arkcclient (0.4.0.alpha1)                                               - A lightweight proxy designed to be proof to IP blocking measures
arkcserver (0.4.0.alpha1)                                               - A lightweight proxy designed to be proof to IP blocking measures
arkgamepy (0.1.3)                                                       - A library for reading and writing the file formats of ARK: Survival Evolved
arklib (v0.2-r95)                                                       - Ark python library
arksearch (0.0.1)                                                       - Searches Intel's ARK site for processor information
Arky (0.2.2)                                                            - Pythonic way to work with Ark.io EcoSystem.
arlpy (1.1)                                                             - ARL Python Tools
Arm4 (1.2)                                                              - Application Response Measurement (ARM) Version 4.0
arm_archive (0.1.0)                                                     - A module for accessing data from the ARM Archive
arm_pyart (1.8.0)                                                       - Py-ART: Python ARM Radar Toolkit
armatis (1.1.1)                                                         - Armatis parses the website or web API response of Korean parcel delivery service company for tracking the parcel.
armet (0.4.44)                                                          - Clean and modern framework for creating RESTful APIs.
armine (0.2.0)                                                          - Association Rule Mining
armor (0.0.1)                                                           - A data validation and sanitization library
armory (0.1.3)                                                          - Python utilities and tools
armsim (0.1dev-r4)                                                      - ARM Simulator for Linux
armstrong.apps.embeds (0.9)                                             - Provides a way to store, relate to, extract metadata and embed content from external URLs via a modular backend system
armstrong.core.arm_layout (1.4.0)                                       - Layout code related to Armstrong
armstrong.core.arm_sections (1.6.0)                                     - Provides hierarchical taxonomy for content
armstrong.dev (2.1.0)                                                   - Tools needed for development and testing of Armstrong
armstrong.utils.backends (1.1.1)                                        - Generic backend system to use throughout Armstrong
opencv-python-armv7l (3.2.0)                                            - opencv-python on armv7l.
arnold (0.4.1)                                                          - Simple migrations for python ORMs
aros (0.0.3)                                                            - A Python Robot Operating System
arouteserver (0.9.0)                                                    - A Python tool to automatically build (and test) configurations for BGP route servers.
arp (1.0)                                                               - ARP / RARP module for Python
dj-arp-storm (1.0b4)                                                    - play network traffic as sound
arpa (0.1.0b1)                                                          - This is a library for reading ARPA n-gram models.
arpreq (0.3.3)                                                          - Query the Kernel ARP cache for the MAC address corresponding to IP address
arprequest (0.3)                                                        - A class which sends an ARP Request to know if a host is online on local networks
arpy (1.1.1)                                                            - Library for accessing "ar" files
arq (0.9)                                                               - Job queues in python with asyncio, redis and msgpack.
django-arquea (2.4.16)                                                  - Sistema administrativo do ANSP
array-split (0.3.0)                                                     - Python package for splitting arrays into sub-arrays (i.e. rectangular-tiling and rectangular-domain-decomposition), similar to ``numpy.array_split``.
django-array-field-select (0.2.0)                                       - A replacement for Django's ArrayField with a multiple select form field.
plist-array (0.0.9)                                                     - plist array management (OS X)
array2gif (0.1.0b1)                                                     - Write a (list of) NumPy array(s) to an (animated) GIF.
array2latex (0.5)                                                       - A tool to convert array into latex tables
array_to_latex (0.36)                                                   - Return Numpy arrays as formatted LaTeX arrays.
Django-ArrayAccum (1.6.1)                                               - Patch for Django-1.6.1 that allows you to use Postgres's array_accum function. It adds function ArrayAccum in django.db.models. Using ArrayAccum will only work on Postgresql. First install Django-1.6.1 then install this package.
arraybuffer (0.1.1)                                                     - Cython based buffer for arrays and typed memoryviews.
pytest-arraydiff (0.1)                                                  - pytest plugin to help with comparing array output from tests
arrayfield_tagsinput (0.0.5)                                            - An app that gives you tag input field for forms
arrayfire (3.5.20170721)                                                - Python bindings for ArrayFire
arrayfunc (2.0.0)                                                       - Fast array processing functions
Flask-arrest (0.5.0)                                                    - A small Flask extension to ease the creation of REST apis.
arronax (0.06)                                                          - Create and modify application, file and URI starters.
arrow-ng (0.5.0)                                                        - Better dates and times for Python
arrow-fatisar (0.5.3)                                                   - ("arrow" fork) Better dates and times for Python, with intervals
arrow (0.10.0)                                                          - Better dates and times for Python
arroyo (1.3.0)                                                          - Provides tools for creating abstractions and wrappers
arroyo-crypto (1.1)                                                     - Provides x509 and Asymmetrical Key abstraction classes
ARS (0.5b1)                                                             - Physically-accurate robotics simulator
arsdkxml (0.9.1)                                                        - Unofficial python parser for Parrot drones xml
arsenal-director (1.0.0.0b1.dev112)                                     - Ironic image caching service
arsenal (2.0)                                                           - Arsenal of python utilities.
arseparse (0.1.2)                                                       - Command-line app helper library
arstecnica.sqlalchemy.async (0.4)                                       - Asyncio middleware for SQLAlchemy
mondrian-art (0.1.2)                                                    - Generate modern art using mondrian processes.
more-ascii-art (1.3)                                                    - Cool ASCII art with python
arte_plus7 (2.2.4)                                                      - CLI script to get videos from Arte plus 7 using their URL
artichoke (0.4.3)                                                       - Simple and Lightweight WSGI Web Framework
simple-article (0.2.1)                                                  - Provide deadly simple Article model for Django
django-theherk-article (1.5)                                            - django CMS plugin to post a simple article
articleDateExtractor (0.17)                                             - Automatically extracts and normalizes an online article or blog post publication date
articlemetaapi (1.14.19)                                                - Library that implements the endpoints of the ArticleMeta API
django-mp-articles (2.2)                                                - Django articles apps
cmsplugin-articles (0.2.2)                                              - Django CMS articles management plugin
mezzanine-articles (0.1.14)                                             - Add articles complex contenttype to mezzanine contet types.
django-articles (2.4.1)                                                 - Sophisticated blogging engine for Django-powered sites
artie (0.1.1)                                                           - IRC utility robot framework for Python
artifacia (0.1.7.2)                                                     - A python client to integrate Visual Discovery feature from Artifacia API.
artifact-cli (0.1.10)                                                   - Private Artifact Manager using Amazon S3
silverbp-artifactory (0.2.3)                                            - Python API for interacting with Artifactory
dohq-artifactory (0.2.16)                                               - A Python to Artifactory interface
artifactory-lib (0.0.12)                                                - Python library for interacting with Artifactory API
artifactory (0.1.17)                                                    - A Python to Artifactory interface
artikcloud (2.1.0)                                                      - ARTIK Cloud API
artiq (2.4)                                                             - Advanced Real-Time Infrastructure for Quantum physics
email-artisan (0.0.1)                                                   - CLI build tool to help ease the pain of developing emails.
artisanci (0.0.0)                                                       - Community powered Continuous Integration!
artist (0.17.0)                                                         - A plotting library for Python with LaTeX output
python-artsy (1.1)                                                      - Python client for Artsy.
Arugula (0.0.1-alpha)                                                   - a sample Python 3 project for a command-line script
arundeckrun (0.2.3)                                                     - A Rundeck API Python client
arv (0.9.2)                                                             - A fast 23andMe raw genome file parser
arv.autotest (0.2.4)                                                    - Run tests whenever a file changes
arvados-node-manager (0.1.20170629115132)                               - Arvados compute node manager
arvados-python-client (0.1.20170717175001)                              - Arvados client library
arvados_fuse (0.1.20170720202039)                                       - Arvados FUSE driver
arxiv (0.1.1)                                                           - Python wrapper for the arXiv API: http://arxiv.org/help/api/
arxiv-checker (1.4.3)                                                   - Cross check the most recent arxiv mailing against a list of authors.
arxiver (0.0.4)                                                         - unofficial API tool for arxiv.org scientific publications
arya (1.1.5)                                                            - APIC Rest to pYthon Adapter
AryaLogger (v1.1.7)                                                     - Use the SimpleAciUiLogServer and arya to convert UI REST API calls to ACI Python SDK code.
arytoolkit (0.1)                                                        - A collection of algorithms and programs, intended for personal and/or educational purposes.
django-settings-view-as-json (0.0.7)                                    - View Django Settings at a URL
as.recipe.filetemplate (2.2.2)                                          - zc.buildout recipe for creating files from file templates
asadipy (0.1.8)                                                         - Cisco ASA Developing Interface for PYthon
asamba (1.0.8)                                                          - Python interface to peform asteroseismic modelling with the asamba grid
asamended (0.04)                                                        - Client library for the asamended.com API.
asammdf (1.1.0)                                                         - ASAM MDF measurement data file parser
asana-kazoo (2.0.8dev)                                                  - Higher Level Zookeeper Client
django-asana (0.4.2)                                                    - Django Asana integration project
asana-hub (0.2.12)                                                      - A python lib & tool for creating issues and tasks simultaneously on github and asana, and keeping them in sync.
asana (0.6.5)                                                           - Asana API client
ASAPTools (0.6.0)                                                       - A collection of useful Python modules from the Application Scalability And Performance (ASAP) group at the National Center for Atmospheric Research
python-asc (0.0.1)                                                      - Simple Python library parsing ASC EPG feeds.
ascat (0.7)                                                             - Readers and converters for data acquired by the ASCAT sensor on-board the MetOP satellites
ascension_kit (0.0.14)                                                  - A utility to report ascension information from NAO.
ascetic (0.7.2.34)                                                      - Lightweight python datamapper ORM (Object-relational mapper).
asciaf (1.0.0)                                                          - A Python project for AppStudio CI automation
memcachier-django-ascii (1.0.0)                                         - Django cache backend supporting MemCachier service
docker-ascii-map (1.1.0)                                                - A set of python scripts displaying the local docker containers structure and status on an ascii map.
ascii_art (0.1.0)                                                       - Ascii art for python: chart, bar, histogram.
ascii_gazebo (0.1.3)                                                    - UNKNOWN
ascii_graph (1.3.0)                                                     - A simple python lib to print data as ascii histograms.
asciibox (0.4.0)                                                        - Render ASCII boxes and arrows as images.
asciicells (0.9.2)                                                      - A Simple ASCII Table Generator
asciichart (0.1)                                                        - Very simple Python module for ASCII charts
asciimathml (0.9.5.1)                                                   - ASCIIMathML to MathML translator
asciimatics (1.8.0)                                                     - A cross-platform package to replace curses (mouse/keyboard input & text colours/positioning) and create ASCII animations
wagtail-asciinema (0.0.2)                                               - Implements Wagtail CMS asciinema integration
asciiporn (2009.05.01)                                                  - view color images & 3d scientific plots in ssh terminal   (screenshots using putty ssh terminal included)
asciitomathml (1.0)                                                     - Module converts ASCII math to Mathml
asciitree (0.3.3)                                                       - Draws ASCII trees.
ascribe (0.0.9.dev1)                                                    - ascribe api
asdf (1.2.1)                                                            - Python tools to handle ASDF files
asdl (0.1.5)                                                            - A copy of the ASDL parser used in CPython 3.5.
asdoc2dash (0.1.1)                                                      - asdoc2dash is tools that convert from ASDoc to Dash Docset.
ase (3.14.1)                                                            - Atomic Simulation Environment
aseqe (0.3.1)                                                           - Python API for the Quantum Espresso software
aserializer (0.8.1)                                                     - An object serializer inspired by the django forms.
asfv1 (1.0.1)                                                           - Alternate FV-1 Assembler
asgi-rabbitmq (0.5.2)                                                   - RabbitMQ backend for ASGI
asgi_ipc (1.4.0)                                                        - Posix IPC-backed ASGI channel layer implementation
asgi_redis (1.4.2)                                                      - Redis-backed ASGI channel layer implementation
asgiref (1.1.2)                                                         - Reference ASGI adapters and channel layers
Ash (0.1.3)                                                             - Thin wrapper for virtualenv for easy environment management
ashd-py (0.4)                                                           - Python module for handling ashd requests
ashes (17.0.0)                                                          - Lightweight templating for Python (a la dust.js)
asianet-tracker (0.4)                                                   - A simple Django app to track data from URL visits
asiconsole (1.0.2)                                                      - Python ASI console for interactive testing and debugging
asif (0.0.1)                                                            - A Python 3.5, asyncio- and decorator-based IRC framework
asilib (1.0.2)                                                          - Aalto Social Interface (ASI) Python interface library
asjson (2.0.0)                                                          - A little wrapper around reading and writing of csv file.
ask-so (1.0.4)                                                          - AskSO - StackOverflow Python Question Assistant
ask (0.0.8)                                                             - Easy input validation for python
Flask-Ask (0.9.6)                                                       - Rapid Alexa Skills Kit Development for Amazon Echo Devices in Python
ask_amy (0.3.7)                                                         - Python framework for Alexa Skill development
askbot-tuanpa (0.7.48)                                                  - Question and Answer forum, like StackOverflow, written in python and Django
askbot-tuan (1.5)                                                       - Question and Answer forum, like StackOverflow, written in python and Django
askbot (0.10.2)                                                         - Question and Answer forum, like StackOverflow, written in python and Django
askcli (1.0.4)                                                          - Generate interactive menus in a python script. Like yes/no question and menu action.
asker (0.1.7)                                                           - Nice cli multiple choice selection and more!
askme (0.0.4)                                                           - AskMe Python Client
askpy (0.0.4)                                                           - Python user input prompt toolkit
AskQuora (0.2.5)                                                        - Quora Q&A right from the command line
pygments-asl (1.0)                                                      - Pygments lexer for ACPI source language (ASL)
