Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
19-September-2016,104.45,104.60,103.60,103.90,104.036448841447539703,57615,85,5994060.00,54854,95.21,1.00,-0.55
16-September-2016,104.15,106.00,103.80,104.00,104.162886300182920958,103870,319,10819399.00,90111,86.75,2.20,-0.15
15-September-2016,104.25,104.30,103.60,103.95,103.823568689958213070,92852,158,9640226.00,79246,85.35,0.70,-0.30
14-September-2016,104.15,104.25,103.70,104.10,104.092009685230024213,28910,62,3009300.00,27295,94.41,0.55,-0.05
12-September-2016,103.60,104.35,103.10,104.00,103.849458075669924862,15039,149,1561792.00,10966,72.92,1.25,0.40
9-September-2016,104.40,104.50,103.60,103.95,104.305499228367368912,222904,168,23250113.00,105753,47.44,0.90,-0.45
8-September-2016,104.30,104.40,103.55,103.75,103.783019244988908651,100078,217,10386397.00,96235,96.16,0.85,-0.55
7-September-2016,103.80,104.55,103.60,103.90,104.132084580476972096,10357,126,1078496.00,5319,51.36,0.95,0.10
6-September-2016,103.55,104.40,103.15,103.80,104.345327451887161609,56222,89,5866503.00,54287,96.56,1.25,0.25
2-September-2016,104.30,104.45,103.30,103.80,103.782485748911531038,66837,245,6936510.00,56887,85.11,1.15,-0.50
1-September-2016,104.50,104.55,103.35,103.90,103.973681990721214677,11855,179,1232608.00,7214,60.85,1.20,-0.60
31-August-2016,105.00,109.00,103.50,103.85,105.293002526560268662,127446,978,13419172.00,72974,57.26,5.50,-1.15
30-August-2016,105.00,105.00,103.80,103.95,104.212494252393094511,95692,180,9972302.00,90252,94.32,1.20,-1.05
29-August-2016,103.60,104.50,103.60,104.00,104.084051724137931034,4176,85,434655.00,2476,59.29,0.90,0.40
26-August-2016,103.65,104.55,103.45,103.95,103.913473423980222496,8090,144,840660.00,4979,61.55,1.10,0.30
25-August-2016,104.10,104.45,103.60,103.95,103.943438523883428177,5799,107,602768.00,3045,52.51,0.85,-0.15
24-August-2016,104.00,104.45,103.75,103.95,103.993997332147621164,4498,101,467765.00,2236,49.71,0.70,-0.05
23-August-2016,104.40,104.45,103.65,103.90,103.985745800101815713,5893,80,612788.00,3531,59.92,0.80,-0.50
22-August-2016,104.15,104.50,103.35,103.65,103.944196806409750042,17723,119,1842203.00,14438,81.46,1.15,-0.50
19-August-2016,105.00,105.00,103.80,104.40,104.343071224111803333,11878,128,1239387.00,5317,44.76,1.20,-0.60
18-August-2016,104.70,104.95,104.05,104.30,104.452847088931541906,15630,132,1632598.00,8907,56.99,0.90,-0.40
17-August-2016,103.80,105.45,103.30,103.80,104.350119535893667887,45593,544,4757635.00,10566,23.17,2.15,0.00
16-August-2016,103.50,104.45,103.15,104.00,103.708806201550387596,32250,422,3344609.00,20353,63.11,1.30,0.50
12-August-2016,102.10,104.50,102.10,103.85,103.622085327359739334,19642,165,2035345.00,11838,60.27,2.40,1.75
11-August-2016,103.80,104.50,103.70,103.90,104.120948616600790513,7590,85,790278.00,4281,56.40,0.80,0.10
10-August-2016,104.00,104.00,103.00,103.85,103.631219101714526138,9507,140,985222.00,6591,69.33,1.00,-0.15
9-August-2016,104.50,104.65,103.10,103.65,104.103568320278503046,11490,125,1196150.00,6839,59.52,1.55,-0.85
8-August-2016,104.10,105.00,104.00,104.20,104.393341682321018576,9582,134,1000297.00,4532,47.30,1.00,0.10
5-August-2016,104.00,105.45,103.60,104.25,104.344215755855216465,12681,185,1323189.00,5936,46.81,1.85,0.25
4-August-2016,105.00,106.00,103.90,104.15,104.440606312838148643,45653,252,4768027.00,33135,72.58,2.10,-0.85
3-August-2016,104.70,106.50,103.80,104.25,104.787454364420843013,30130,344,3157246.00,10754,35.69,2.70,-0.45
2-August-2016,104.40,104.50,103.60,103.70,103.978043461914429656,13299,148,1382804.00,6571,49.41,0.90,-0.70
1-August-2016,105.60,105.60,103.50,104.00,104.548346812559467174,33632,401,3516170.00,15799,46.98,2.10,-1.60
29-July-2016,103.55,111.35,103.55,105.05,105.171287852295166758,477547,1782,50224233.00,217009,45.44,7.80,1.50
28-July-2016,104.05,104.50,103.65,103.85,104.053497106892701248,9851,125,1025031.00,5017,50.93,0.85,-0.20
27-July-2016,104.50,104.50,104.00,104.10,104.139557494219045616,38056,142,3963135.00,30920,81.25,0.50,-0.40
26-July-2016,104.40,105.55,103.45,104.00,104.149048497663331133,74251,365,7733171.00,60106,80.95,2.10,-0.40
