Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
17-March-2016,366.05,369.45,358.40,361.05,362.672851906385758257,548079,6285,198773374.00,242028,44.16,11.05,-5.00
16-March-2016,360.00,363.30,353.30,359.85,357.512354680837411700,685732,10781,245157662.00,104981,15.31,10.00,-0.15
15-March-2016,368.00,370.65,359.60,360.65,363.547684984361087646,876020,11145,318475043.00,426232,48.66,11.05,-7.35
14-March-2016,359.00,370.25,359.00,365.90,366.265372361100471817,704934,12484,258192914.00,112153,15.91,11.25,6.90
11-March-2016,349.40,355.90,345.30,354.00,350.622179842689355297,855759,12033,300048086.00,191926,22.43,10.60,4.60
10-March-2016,348.40,353.45,342.10,348.40,348.098797661506783836,679925,9351,236681075.00,127222,18.71,11.35,0.00
9-March-2016,343.00,349.00,336.40,347.75,343.874657300999182387,637221,9431,219124153.00,94618,14.85,12.60,4.75
8-March-2016,345.00,353.90,341.45,345.70,347.551057162359604438,709068,10082,246437333.00,129796,18.31,12.45,0.70
4-March-2016,339.00,348.50,338.45,343.55,344.016645654547958337,936761,16131,322261377.00,243910,26.04,10.05,4.55
3-March-2016,324.10,339.90,321.75,336.35,332.420699116642726279,1162610,18455,386475629.00,213012,18.32,18.15,12.25
2-March-2016,320.50,325.75,314.75,317.00,320.507323563212218200,744856,12614,238731803.00,124273,16.68,11.00,-3.50
1-March-2016,300.30,316.90,300.30,315.30,310.174798765465040780,562155,9431,174366314.00,114005,20.28,16.60,15.00
29-February-2016,302.20,305.55,290.45,300.25,299.711113616180057023,1454828,14856,436028120.00,512390,35.22,15.10,-1.95
26-February-2016,303.00,305.35,297.75,302.20,301.447483267219389102,473173,7548,142636810.00,62541,13.22,7.60,-0.80
25-February-2016,308.80,311.35,296.00,298.00,302.554277342107167797,511217,8709,154670890.00,124980,24.45,15.35,-10.80
24-February-2016,316.00,316.00,305.50,306.90,309.274312635826158293,507082,8300,156827437.00,79897,15.76,10.50,-9.10
23-February-2016,323.90,324.95,314.70,318.45,318.223339078271635796,688142,9200,218982845.00,136485,19.83,10.25,-5.45
22-February-2016,320.50,324.25,314.00,318.80,318.188411258074438634,650200,8995,206886105.00,108782,16.73,10.25,-1.70
19-February-2016,312.10,319.60,311.30,317.50,314.422614049970076172,1841342,8592,578959565.00,1392397,75.62,8.30,5.40
18-February-2016,315.15,319.00,306.60,313.70,313.516088876784691158,778426,12267,244049075.00,152277,19.56,12.40,-1.45
17-February-2016,302.75,313.50,298.65,310.10,305.828659531944568897,1026716,15298,313999178.00,238238,23.20,14.85,7.35
16-February-2016,319.50,323.95,299.00,301.00,308.807112523003991943,1381282,17141,426549706.00,396037,28.67,24.95,-18.50
15-February-2016,299.50,320.65,297.45,316.45,311.092913274522264309,1598792,18982,497372861.00,567646,35.50,23.20,16.95
12-February-2016,281.00,304.35,272.00,298.65,290.324013676127838801,2558034,29523,742658698.00,354941,13.88,32.35,17.65
11-February-2016,299.00,299.25,266.00,275.65,284.038728515218266865,1819951,23177,516936568.00,557588,30.64,33.25,-23.35
10-February-2016,310.95,310.95,289.00,291.85,297.839409305931147419,2408421,18951,717322688.00,1473151,61.17,21.95,-19.10
9-February-2016,320.00,322.80,309.25,310.60,314.716408838379768518,868666,17766,273383444.00,272738,31.40,13.55,-9.40
8-February-2016,337.85,337.85,322.00,323.95,328.864158551568999901,548566,7542,180403696.00,145995,26.61,15.85,-13.90
5-February-2016,330.55,338.70,327.00,337.25,333.973970771216371828,517572,7376,172855576.00,91108,17.60,11.70,6.70
4-February-2016,325.30,329.10,321.55,325.95,325.461043959604772946,632649,7698,205902604.00,257930,40.77,7.55,0.65
3-February-2016,328.00,328.00,317.25,320.50,320.925126918210597604,952385,9864,305644277.00,444252,46.65,10.75,-7.50
2-February-2016,343.10,344.60,328.10,329.70,335.809707493790768679,758548,9555,254727782.00,209064,27.56,16.50,-13.40
1-February-2016,340.00,342.20,332.60,338.35,337.589368236359265724,445119,6524,150267442.00,62809,14.11,9.60,-1.65
29-January-2016,333.70,340.15,324.25,336.70,333.995217344147672485,673057,10471,224797819.00,105068,15.61,15.90,3.00
28-January-2016,337.90,341.25,332.25,334.00,336.642429153024154717,752855,5775,253442936.00,434533,57.72,9.00,-3.90
27-January-2016,336.55,341.00,333.35,337.15,337.388106374088501300,519337,6612,175218127.00,177646,34.21,7.65,0.60
25-January-2016,345.00,345.50,331.65,332.90,339.339986422029906528,1143028,8400,387875106.00,628689,55.00,13.85,-12.10
22-January-2016,334.05,345.80,331.50,339.35,338.893973314805522317,621768,8526,210713428.00,136905,22.02,14.30,5.30
21-January-2016,341.70,344.00,323.35,329.40,330.351081903736450320,1931780,22646,638165613.00,711505,36.83,20.65,-12.30
20-January-2016,350.00,350.00,338.75,342.05,342.146830726927412836,852451,9959,291663408.00,387520,45.46,11.25,-7.95
19-January-2016,343.00,356.55,342.05,354.05,352.099665579455844102,702409,8148,247317974.00,237361,33.79,14.50,11.05
18-January-2016,339.00,343.20,334.85,341.40,340.036789553265428759,667309,6765,226909610.00,232951,34.91,8.35,2.40
15-January-2016,354.00,354.00,339.50,341.55,346.175092146475904448,1047517,11590,362624294.00,429439,41.00,14.50,-12.45
14-January-2016,357.00,358.80,346.85,354.85,353.554257055342230520,1174004,13205,415074112.00,267597,22.79,11.95,-2.15
13-January-2016,359.10,369.70,356.25,364.45,361.812544415920025841,1176380,13616,425629041.00,297216,25.27,13.45,5.35
12-January-2016,362.00,364.45,352.25,355.05,356.018846695179697558,733232,10725,261044411.00,201522,27.48,12.20,-6.95
11-January-2016,350.00,364.50,341.80,360.65,358.293579559247970220,1186336,14636,425056572.00,390042,32.88,22.70,10.65
8-January-2016,346.90,355.90,345.30,353.45,352.380286835993625866,1097561,10729,386758860.00,451442,41.13,10.60,6.55
7-January-2016,356.50,359.85,338.40,343.20,347.565489782825413969,1142537,16857,397106432.00,335340,29.35,21.45,-13.30
6-January-2016,378.00,378.00,364.60,365.70,369.998821721084548156,677259,10175,250585032.00,258090,38.11,13.40,-12.30
5-January-2016,380.30,382.50,373.10,374.65,377.228381248337506280,473686,8004,178687803.00,114095,24.09,9.40,-5.65
4-January-2016,400.00,400.00,375.30,377.15,383.643470132079312414,771279,11182,295896152.00,222345,28.83,24.70,-22.85
1-January-2016,393.80,402.90,391.30,401.65,398.427299612947735262,394262,5930,157084744.00,66425,16.85,11.60,7.85
