"date","close","volume","open","high","low"
"2017/04/13","7.8636","3262690.0000","7.9273","7.9727","7.8545"
"2017/04/12","7.9000","3401320.0000","7.8909","7.9455","7.8636"
"2017/04/11","7.9636","6138729.0000","7.9273","7.9727","7.8727"
"2017/04/10","7.8364","2052839.0000","7.8455","7.8727","7.8000"
"2017/04/07","7.8545","2989934.0000","7.8182","7.9000","7.8182"
"2017/04/06","7.8273","3236104.0000","7.8545","7.9000","7.8273"
"2017/04/05","7.8545","3972499.0000","7.9545","7.9909","7.8455"
"2017/04/04","7.9182","5136275.0000","7.9636","7.9909","7.9000"
"2017/04/03","7.9364","9160725.0000","7.9636","8.0773","7.8955"
"2017/03/31","7.8182","5596870.0000","7.7545","7.8182","7.6864"
"2017/03/30","7.9000","7964239.0000","7.7818","7.9182","7.7818"
"2017/03/29","7.8545","5684373.0000","7.9000","7.9000","7.8000"
"2017/03/28","7.8273","7282374.0000","7.7636","7.8636","7.7364"
"2017/03/27","7.7636","8665952.0000","7.5818","7.7818","7.5636"
"2017/03/24","7.6364","6242871.0000","7.6545","7.6818","7.5636"
"2017/03/23","7.5545","10919376.0000","7.4545","7.5727","7.4273"
"2017/03/22","7.4273","5467436.0000","7.4000","7.4455","7.3545"
"2017/03/21","7.4364","14286305.0000","7.6182","7.6182","7.3727"
"2017/03/20","7.6818","10461069.0000","7.6727","7.7273","7.6364"
"2017/03/17","7.6636","18774448.0000","7.8182","7.8364","7.6545"
"2017/03/16","7.9818","7827034.0000","7.9091","8.0091","7.8818"
"2017/03/15","7.9273","5661432.0000","7.8909","7.9273","7.8182"
"2017/03/14","7.8727","7503737.0000","7.8727","7.9273","7.8455"
"2017/03/13","7.8455","24715394.0000","7.7727","7.9091","7.7273"
"2017/03/10","7.4091","8075826.0000","7.4318","7.4455","7.3818"
"2017/03/09","7.5091","10250521.0000","7.4727","7.5636","7.4545"
"2017/03/08","7.4818","6097658.0000","7.5000","7.5273","7.4636"
"2017/03/07","7.4818","5898079.0000","7.4818","7.5273","7.4364"
"2017/03/06","7.4909","6860158.0000","7.5636","7.5727","7.4273"
"2017/03/03","7.5818","3938432.0000","7.5545","7.6091","7.5273"
"2017/03/02","7.5545","4957534.0000","7.5909","7.5909","7.5091"
"2017/03/01","7.7000","8145279.0000","7.5909","7.7364","7.5545"
"2017/02/28","7.4545","12365650.0000","7.5000","7.5182","7.4182"
"2017/02/27","7.5455","7504836.0000","7.6182","7.6182","7.5136"
"2017/02/24","7.6909","3969703.0000","7.6545","7.7000","7.6455"
"2017/02/23","7.7000","10785376.0000","7.6818","7.7273","7.6545"
"2017/02/22","7.6182","17928768.0000","7.6727","7.7091","7.5818"
"2017/02/21","7.7000","5110282.0000","7.6727","7.7000","7.6273"
"2017/02/17","7.6545","4959104.0000","7.6455","7.7091","7.5818"
"2017/02/16","7.6091","8355795.0000","7.5364","7.6182","7.5364"
"2017/02/15","7.5727","15356418.0000","7.6182","7.6636","7.5455"
"2017/02/14","7.6727","5841876.0000","7.7455","7.7455","7.6273"
"2017/02/13","7.6818","5204959.0000","7.7091","7.7273","7.6455"
"2017/02/10","7.7273","4686018.0000","7.6818","7.7500","7.6409"
"2017/02/09","7.7909","4218770.0000","7.7455","7.8091","7.7455"
"2017/02/08","7.7091","12141965.0000","7.7091","7.7182","7.6000"
"2017/02/07","7.7818","5636477.0000","7.7273","7.8091","7.7000"
"2017/02/06","7.8545","7854534.0000","7.8000","7.8818","7.7818"
"2017/02/03","7.7455","7496796.0000","7.6273","7.7545","7.6182"
"2017/02/02","7.6545","8710181.0000","7.6545","7.6909","7.6182"
"2017/02/01","7.5364","19454985.0000","7.5091","7.6364","7.5000"
"2017/01/31","7.0455","17983735.0000","7.1545","7.1909","6.9455"
"2017/01/30","7.1727","8275581.0000","7.2273","7.2545","7.1545"
"2017/01/27","7.3636","8803138.0000","7.2909","7.4182","7.2818"
"2017/01/26","7.1364","9910985.0000","7.1091","7.1545","7.0455"
"2017/01/25","7.1091","7725818.0000","6.9818","7.1273","6.9818"
"2017/01/24","6.9182","8403497.0000","6.9182","6.9636","6.8636"
"2017/01/23","6.8818","10083346.0000","6.9000","6.9227","6.8182"
"2017/01/20","6.9636","7608613.0000","7.0000","7.0182","6.9182"
"2017/01/19","7.0636","13390784.0000","7.1636","7.1818","7.0364"
"2017/01/18","7.2091","10065209.0000","7.1182","7.2545","7.1045"
"2017/01/17","7.0727","9153982.0000","7.1636","7.1909","7.0636"
"2017/01/13","7.1455","6159130.0000","7.2000","7.2091","7.0545"
"2017/01/12","7.2273","8228638.0000","7.2000","7.2636","7.1636"
"2017/01/11","7.1818","6773220.0000","7.0818","7.1909","7.0273"
"2017/01/10","7.0273","5824455.0000","6.9545","7.0545","6.9455"
"2017/01/09","6.9273","4941460.0000","6.9364","6.9818","6.8886"
