,adbl.rating.overall.count,adbl.rating.overall.value,adbl.rating.performance.count,adbl.rating.performance.value,adbl.rating.story.count,adbl.rating.story.value,amazon.rating.overall.count,amazon.rating.overall.value,authors,category,length,narrated_by,price,program_format,publisher,release_date,series,subcategory,title
50,,,,,,,,,Brandon Sanderson,Sci-Fi & Fantasy,2940.0,"Kate Reading , Michael Kramer",62.99,Unabridged,Macmillan Audio,2017-11-14,"Series: Stormlight Archive, Book 3",Fantasy: Epic,Oathbringer
51,274.0,4.7,274.0,4.7,274.0,4.7,,,Esther Perel,Self Development,36.0,Esther Perel,0.0,,Audible Originals,2017-06-30,"Series: Where Should We Begin? with Esther Perel, Book 9",Relationships,Ep. 9: Trauma Doesn't Like to Be Touched
52,16711.0,4.6,16711.0,4.6,16711.0,4.6,893.0,4.3,Neil Gaiman,Fiction,389.0,Neil Gaiman,23.95,Unabridged,HarperAudio,2017-02-07,,Historical,Norse Mythology
53,459.0,4.7,459.0,4.7,459.0,4.7,,,Esther Perel,Self Development,33.0,Esther Perel,0.0,,Audible Originals,2017-06-23,"Series: Where Should We Begin? with Esther Perel, Book 8",Relationships,Ep. 8: Sexlessness
54,14767.0,4.5,14767.0,4.5,14767.0,4.5,4692.0,4.5,Stephen R. Covey,Business,784.0,Stephen R. Covey,28.3,Unabridged,Simon & Schuster Audio,2004-10-06,,Leadership,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change
55,190.0,4.8,190.0,4.8,190.0,4.8,,,Esther Perel,Self Development,40.0,Esther Perel,0.0,,Audible Originals,2017-07-07,"Series: Where Should We Begin? with Esther Perel, Book 10",Relationships,Ep. 10: I Can't Give You a Child
56,,,,,,,,,Dan Brown,Mysteries & Thrillers,960.0,To Be Announced,42.00,Unabridged,Random House Audio,2017-10-03,,Suspense,Origin: A Novel
57,3325.0,4.8,3325.0,4.8,3325.0,4.8,251.0,4.8,"Dalai Lama , Desmond Tutu , Douglas Carlton Abrams",Self Development,612.0,"Douglas Carlton Abrams , full cast",28.0,Unabridged,Penguin Audio,2016-09-20,,Motivation & Inspiration,The Book of Joy: Lasting Happiness in a Changing World
58,15067.0,4.8,15067.0,4.8,15067.0,4.8,1519.0,4.8,"Jocko Willink , Leif Babin",Business,495.0,"Jocko Willink , Leif Babin",27.99,Unabridged,Macmillan Audio,2015-10-20,,Leadership,Extreme Ownership: How U.S. Navy SEALs Lead and Win
59,594.0,4.7,594.0,4.7,594.0,4.7,,,Esther Perel,Self Development,43.0,Esther Perel,0.0,,Audible Originals,2017-06-09,"Series: Where Should We Begin? with Esther Perel, Book 6",Relationships,Ep. 6: There's You There's Me and There's Us
