,adbl.rating.overall.count,adbl.rating.overall.value,adbl.rating.performance.count,adbl.rating.performance.value,adbl.rating.story.count,adbl.rating.story.value,amazon.rating.overall.count,amazon.rating.overall.value,authors,category,length,narrated_by,price,program_format,publisher,release_date,series,subcategory,title,url
41,7824.0,4.7,7824.0,4.7,7824.0,4.7,1049.0,4.6,Stephen King,Fiction,767,Frank Muller,22.67,Unabridged,Simon & Schuster Audio,2016-01-01,"Series: The Dark Tower, Book 2",Horror,The Dark Tower II: The Drawing of the Three,http://www.audible.com/pd/Fiction/The-Dark-Tower-II-Audiobook/B019NNTLBS/ref=a_adblbests_c2_2_t?ie=UTF8&pf_rd_r=1NDF6R7N1CCXTTR1320A&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
42,410.0,4.8,410.0,4.8,410.0,4.8,43.0,4.2,Michael J. Sullivan,Sci-Fi & Fantasy,1202,Tim Gerard Reynolds,38.49,Unabridged,Recorded Books,2017-07-25,"Series: Legends of the First Empire, Book 2",Fantasy: Epic,"Age of Swords: The Legends of the First Empire, Book 2",http://www.audible.com/pd/Sci-Fi-Fantasy/Age-of-Swords-Audiobook/B06X16L1XR/ref=a_adblbests_c2_3_t?ie=UTF8&pf_rd_r=1NDF6R7N1CCXTTR1320A&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
43,489.0,4.6,489.0,4.6,489.0,4.6,28.0,4.5,Christie Golden,Sci-Fi & Fantasy,622,Janina Gavankar,31.5,Unabridged,Random House Audio,2017-07-25,"Series: Star Wars, Book 16",Star Wars,Battlefront II: Inferno Squad (Star Wars),http://www.audible.com/pd/Sci-Fi-Fantasy/Battlefront-II-Audiobook/B06ZY1VRRH/ref=a_adblbests_c2_4_t?ie=UTF8&pf_rd_r=1NDF6R7N1CCXTTR1320A&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
44,476.0,4.7,476.0,4.7,476.0,4.7,,,Esther Perel,Self Development,33,Esther Perel,0.0,,Audible Originals,2017-06-23,"Series: Where Should We Begin? with Esther Perel, Book 8",Relationships,Ep. 8: Sexlessness,http://www.audible.com/pd/Self-Development/Ep-8-Sexlessness-Audiobook/B07121BTF2/ref=a_adblbests_c2_5_t?ie=UTF8&pf_rd_r=1NDF6R7N1CCXTTR1320A&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
45,,,,,,,,,Brandon Sanderson,Sci-Fi & Fantasy,2940,"Kate Reading , Michael Kramer",62.99,Unabridged,Macmillan Audio,2017-11-14,"Series: Stormlight Archive, Book 3",Fantasy: Epic,Oathbringer,http://www.audible.com/pd/Sci-Fi-Fantasy/Oathbringer-Audiobook/B0718Z5K4C/ref=a_adblbests_c2_6_t?ie=UTF8&pf_rd_r=1NDF6R7N1CCXTTR1320A&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
46,14778.0,4.5,14778.0,4.5,14778.0,4.5,4695.0,4.5,Stephen R. Covey,Business,784,Stephen R. Covey,28.3,Unabridged,Simon & Schuster Audio,2004-10-06,,Leadership,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,http://www.audible.com/pd/Business/The-7-Habits-of-Highly-Effective-People-Audiobook/B002V5HAL4/ref=a_adblbests_c2_7_t?ie=UTF8&pf_rd_r=1NDF6R7N1CCXTTR1320A&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
47,602.0,4.7,602.0,4.7,602.0,4.7,,,Esther Perel,Self Development,43,Esther Perel,0.0,,Audible Originals,2017-06-09,"Series: Where Should We Begin? with Esther Perel, Book 6",Relationships,Ep. 6: There's You There's Me and There's Us,http://www.audible.com/pd/Self-Development/Ep-6-Theres-You-Theres-Me-and-Theres-Us-Audiobook/B072LXDZHZ/ref=a_adblbests_c2_8_t?ie=UTF8&pf_rd_r=1NDF6R7N1CCXTTR1320A&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
48,285.0,4.7,285.0,4.7,285.0,4.7,,,Esther Perel,Self Development,36,Esther Perel,0.0,,Audible Originals,2017-06-30,"Series: Where Should We Begin? with Esther Perel, Book 9",Relationships,Ep. 9: Trauma Doesn't Like to Be Touched,http://www.audible.com/pd/Self-Development/Ep-9-Trauma-Doesnt-Like-to-Be-Touched-Audiobook/B071LPTLRZ/ref=a_adblbests_c2_9_t?ie=UTF8&pf_rd_r=1NDF6R7N1CCXTTR1320A&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
49,1392.0,4.6,1392.0,4.6,1392.0,4.6,844.0,4.7,Joe Dispenza,Self Development,649,Adam Boyce,24.95,Unabridged,Author's Republic,2016-10-21,,Motivation & Inspiration,Breaking the Habit of Being Yourself: How to Lose Your Mind and Create a New One,http://www.audible.com/pd/Self-Development/Breaking-the-Habit-of-Being-Yourself-Audiobook/B01MEH7DLA/ref=a_adblbests_c2_10_t?ie=UTF8&pf_rd_r=1NDF6R7N1CCXTTR1320A&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
50,780.0,4.6,780.0,4.6,780.0,4.6,266.0,4.7,Kate Quinn,Fiction,907,Saskia Maarleveld,31.93,Unabridged,Harper Audio,2017-06-06,,Historical,The Alice Network: A Novel,http://www.audible.com/pd/Fiction/The-Alice-Network-Audiobook/B06Y4FV56S/ref=a_adblbests_c2_11_t?ie=UTF8&pf_rd_r=1NDF6R7N1CCXTTR1320A&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
51,770.0,4.7,770.0,4.7,770.0,4.7,784.0,4.6,Daniel Silva,Mysteries & Thrillers,780,George Guidall,31.93,Unabridged,Harper Audio,2017-07-11,"Series: Gabriel Allon, Book 17",Espionage,House of Spies: A Novel,http://www.audible.com/pd/Mysteries-Thrillers/House-of-Spies-Audiobook/B06Y4D3GGK/ref=a_adblbests_c2_12_t?ie=UTF8&pf_rd_r=1NDF6R7N1CCXTTR1320A&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
52,15114.0,4.8,15114.0,4.8,15114.0,4.8,1526.0,4.8,"Jocko Willink , Leif Babin",Business,495,"Jocko Willink , Leif Babin",27.99,Unabridged,Macmillan Audio,2015-10-20,,Leadership,Extreme Ownership: How U.S. Navy SEALs Lead and Win,http://www.audible.com/pd/Business/Extreme-Ownership-Audiobook/B015TVHUA2/ref=a_adblbests_c2_13_t?ie=UTF8&pf_rd_r=1NDF6R7N1CCXTTR1320A&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
53,46706.0,4.6,46706.0,4.6,46706.0,4.6,13588.0,4.6,Fredrik Backman,Fiction,549,George Newbern,34.99,Unabridged,"Dreamscape Media, LLC",2014-08-05,,Literary,A Man Called Ove,http://www.audible.com/pd/Fiction/A-Man-Called-Ove-Audiobook/B00MEL8VSG/ref=a_adblbests_c2_14_t?ie=UTF8&pf_rd_r=1NDF6R7N1CCXTTR1320A&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
54,202.0,4.8,202.0,4.8,202.0,4.8,,,Esther Perel,Self Development,40,Esther Perel,0.0,,Audible Originals,2017-07-07,"Series: Where Should We Begin? with Esther Perel, Book 10",Relationships,Ep. 10: I Can't Give You a Child,http://www.audible.com/pd/Self-Development/Ep-10-I-Cant-Give-You-a-Child-Audiobook/B071FJB9PF/ref=a_adblbests_c2_15_t?ie=UTF8&pf_rd_r=1NDF6R7N1CCXTTR1320A&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
55,749.0,4.5,749.0,4.5,749.0,4.5,654.0,4.0,Thomas Hardy,Classics,892,Jamie Parker,31.49,Unabridged,Naxos AudioBooks,2014-05-27,,British Literature,Far From the Madding Crowd,http://www.audible.com/pd/Classics/Far-From-the-Madding-Crowd-Audiobook/B00KI1148I/ref=a_adblbests_c2_16_t?ie=UTF8&pf_rd_r=1NDF6R7N1CCXTTR1320A&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
56,1771.0,4.6,1771.0,4.6,1771.0,4.6,,,Esther Perel,Self Development,35,Esther Perel,0.0,,Audible Originals,2017-05-18,"Series: Where Should We Begin? with Esther Perel, Book 2",Relationships,Ep. 2: Motherless Women,http://www.audible.com/pd/Self-Development/Ep-2-Motherless-Women-Audiobook/B0719HL2F1/ref=a_adblbests_c2_17_t?ie=UTF8&pf_rd_r=1NDF6R7N1CCXTTR1320A&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
57,16798.0,4.6,16798.0,4.6,16798.0,4.6,897.0,4.3,Neil Gaiman,Fiction,389,Neil Gaiman,23.95,Unabridged,HarperAudio,2017-02-07,,Historical,Norse Mythology,http://www.audible.com/pd/Fiction/Norse-Mythology-Audiobook/B01LWUJKQ7/ref=a_adblbests_c2_18_t?ie=UTF8&pf_rd_r=1NDF6R7N1CCXTTR1320A&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
58,,,,,,,22.0,3.9,Dinesh D'Souza,Nonfiction,570,David Cochran Heath,24.47,Unabridged,"Blackstone Audio, Inc.",2017-07-31,,Politics,The Big Lie: Exposing the Nazi Roots of the American Left,http://www.audible.com/pd/Nonfiction/The-Big-Lie-Audiobook/B072BWWW3X/ref=a_adblbests_c2_19_t?ie=UTF8&pf_rd_r=1NDF6R7N1CCXTTR1320A&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
59,,,,,,,26.0,4.1,"Jonathan Kellerman , Jesse Kellerman",Mysteries & Thrillers,578,Dennis Boutsikaris,28.0,Unabridged,Random House Audio,2017-08-01,,Suspense,Crime Scene: A Novel,http://www.audible.com/pd/Mysteries-Thrillers/Crime-Scene-Audiobook/B071987HZ1/ref=a_adblbests_c2_20_t?ie=UTF8&pf_rd_r=1NDF6R7N1CCXTTR1320A&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
