Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
15-September-2016,482.50,482.50,474.25,478.35,476.504865794319581468,328004,2907,156295502.00,282547,86.14,8.25,-4.15
14-September-2016,483.00,484.60,476.00,478.15,479.086565603763721902,105215,3949,50407093.00,38093,36.20,8.60,-4.85
12-September-2016,477.00,483.50,473.05,481.30,481.300376807533201094,406839,5597,195811764.00,254262,62.50,10.45,4.30
9-September-2016,476.00,482.85,474.30,480.65,479.595549899584418683,251455,5219,120596699.00,93645,37.24,8.55,4.65
8-September-2016,478.00,480.00,470.25,473.60,472.910911337061249435,765754,6602,362133422.00,609145,79.55,9.75,-4.40
7-September-2016,486.80,489.00,481.50,482.15,484.905800238480408910,131667,4647,63846092.00,56163,42.66,7.50,-4.65
6-September-2016,485.10,485.60,480.25,482.80,482.136785680912697401,117717,3275,56755696.00,55105,46.81,5.35,-2.30
2-September-2016,483.95,485.25,479.75,483.35,482.324214747811832206,68322,3154,32953355.00,22325,32.68,5.50,-0.60
1-September-2016,492.50,492.50,481.55,483.70,484.879506938570936315,127692,3671,61915234.00,46463,36.39,10.95,-8.80
31-August-2016,490.00,495.90,486.50,490.50,491.955890287547210905,202019,5978,99384437.00,79261,39.23,9.40,0.50
30-August-2016,479.90,490.00,478.50,489.10,482.760489935017091480,963638,6250,465206353.00,818510,84.94,11.50,9.20
29-August-2016,491.00,492.10,476.00,478.55,480.869210312476915121,406110,9137,195285795.00,270160,66.52,16.10,-12.45
26-August-2016,504.90,506.35,488.00,489.95,497.613601989593710876,414557,10790,206289202.00,268612,64.79,18.35,-14.95
25-August-2016,519.60,519.60,504.00,505.10,509.285997094369142838,187911,5215,95700441.00,88737,47.22,15.60,-14.50
24-August-2016,520.10,524.00,517.50,519.85,519.934557191073238966,155846,1584,81029721.00,113965,73.13,6.50,-0.25
23-August-2016,516.00,520.60,515.30,519.55,518.276936230134781734,99420,2119,51527093.00,28754,28.92,5.30,3.55
22-August-2016,519.00,520.00,514.00,515.30,516.495731889949082195,93484,2151,48284087.00,33446,35.78,6.00,-3.70
19-August-2016,529.20,530.15,520.00,520.60,523.488810276481509358,119574,2977,62595651.00,59411,49.69,10.15,-8.60
18-August-2016,531.00,532.00,523.25,524.80,525.369313325102098964,63174,2221,33189681.00,28832,45.64,8.75,-6.20
17-August-2016,536.00,538.10,527.90,528.75,531.607616192736305979,216171,1660,114918150.00,179881,83.21,10.20,-7.25
16-August-2016,540.00,546.00,535.00,536.25,543.519104640965300823,1843819,2415,1002150852.00,1791471,97.16,11.00,-3.75
12-August-2016,546.00,549.25,542.00,543.75,544.530910190890130709,62811,1149,34202531.00,9274,14.76,7.25,-2.25
11-August-2016,541.00,547.45,540.10,543.70,542.706595417612180660,68305,1580,37069574.00,5340,7.82,7.35,2.70
10-August-2016,551.00,551.20,540.40,542.35,545.552235025959225022,39485,961,21541130.00,10151,25.71,10.80,-8.65
9-August-2016,546.60,551.90,546.05,550.40,549.363946984700428736,45949,1796,25242724.00,14339,31.21,5.85,3.80
8-August-2016,547.00,552.05,547.00,549.05,548.342059537079535768,366024,1523,200706354.00,327931,89.59,5.05,2.05
5-August-2016,547.30,552.75,544.75,544.85,545.481796970950295674,316733,1146,172772086.00,18689,5.90,8.00,-2.45
4-August-2016,553.00,553.00,546.00,548.40,548.218469394378691823,46217,1008,25337013.00,16955,36.69,7.00,-4.60
3-August-2016,552.00,554.90,546.75,548.00,548.603094889277060911,141976,911,77888473.00,107325,75.59,8.15,-4.00
2-August-2016,558.65,559.00,548.00,550.50,550.645549899060826823,45572,1674,25094019.00,14871,32.63,11.00,-8.15
1-August-2016,545.50,561.50,545.30,558.65,557.668487488004724293,94829,2574,52883145.00,36306,38.29,16.20,13.15
29-July-2016,552.00,552.15,543.00,545.30,545.999922473107859288,51595,1397,28170866.00,15797,30.62,9.15,-6.70
28-July-2016,548.50,556.00,544.25,553.30,550.507390444467575726,57642,1246,31732347.00,21122,36.64,11.75,4.80
27-July-2016,546.90,552.45,542.45,548.60,549.250122421497214910,326740,3837,179461985.00,29829,9.13,10.00,1.70
26-July-2016,542.90,550.90,541.75,546.85,546.924902463369393267,2425499,2798,1326565804.00,2347817,96.80,9.15,3.95
25-July-2016,537.45,543.30,535.50,542.40,539.959231853976201416,63113,1440,34078447.00,19765,31.32,7.80,4.95
22-July-2016,540.00,540.75,535.00,537.45,537.957796374213518537,1028632,2316,553360604.00,923429,89.77,5.75,-2.55
21-July-2016,539.90,545.00,539.00,541.70,541.982110608104105025,1434705,2911,777584444.00,1340602,93.44,6.00,1.80
20-July-2016,511.00,542.00,511.00,538.60,531.379606853810572290,666724,14525,354283537.00,51246,7.69,31.00,27.60
