Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
17-September-2009,239.20,244.80,235.70,237.20,240.134436503723684180,877894,8890,210812581.00,185426,21.12,9.10,-2.00
16-September-2009,237.00,238.80,232.50,235.05,236.033777817025785941,362368,3859,85531088.00,95452,26.34,6.30,-1.95
15-September-2009,235.00,237.60,231.20,234.10,234.762367171177123450,345087,3906,81013441.00,89994,26.08,6.40,-0.90
14-September-2009,234.00,237.85,230.10,233.15,234.153734890892335771,335311,4298,78514323.00,80220,23.92,7.75,-0.85
11-September-2009,237.40,239.80,226.70,236.60,234.380302451340788608,826976,9701,193826885.00,138054,16.69,13.10,-0.80
10-September-2009,242.10,243.70,232.70,235.15,238.801888911578517459,391760,4446,93553028.00,112429,28.70,11.00,-6.95
9-September-2009,243.00,247.25,236.20,239.25,242.092086872480987424,528729,5847,128001107.00,145306,27.48,11.05,-3.75
8-September-2009,244.90,253.50,242.20,243.35,248.001399317882365604,1003346,10083,248831212.00,221556,22.08,11.30,-1.55
7-September-2009,244.00,247.25,242.00,243.60,244.515968934456468273,520448,5622,127257847.00,154291,29.65,5.25,-0.40
4-September-2009,240.10,247.00,238.30,239.95,241.939918322841840108,594291,6972,143782716.00,135211,22.75,8.70,-0.15
3-September-2009,241.40,249.00,240.30,241.75,244.952571068245947973,851611,9044,208604304.00,190685,22.39,8.70,0.35
2-September-2009,236.00,243.70,234.00,239.45,240.265901113629415399,775213,8976,186257250.00,134626,17.37,9.70,3.45
1-September-2009,250.35,255.60,236.55,239.00,247.894281942371713924,1742200,16351,431881418.00,412954,23.70,19.05,-11.35
31-August-2009,233.10,251.50,230.15,248.15,245.271398992471363634,2138103,20738,524415514.00,291468,13.63,21.35,15.05
28-August-2009,242.00,248.40,236.80,239.70,242.517725673607124841,1839648,17026,446147249.00,342878,18.64,11.60,-2.30
27-August-2009,221.00,245.30,221.00,242.85,239.681293061579125918,3277864,31904,785642682.00,535660,16.34,24.30,21.85
26-August-2009,231.00,232.50,223.00,223.80,227.479099069895271355,993329,10065,225961586.00,233180,23.47,9.50,-7.20
25-August-2009,223.50,233.95,221.10,227.50,229.324027965277412078,2867413,27791,657566699.00,536112,18.70,12.85,4.00
24-August-2009,203.30,224.70,201.80,222.50,216.096285534859109035,3460229,32104,747742634.00,560047,16.19,22.90,19.20
21-August-2009,199.55,203.00,197.50,199.90,200.385640926236045924,629386,6916,126119917.00,126921,20.17,5.50,0.35
20-August-2009,198.70,204.00,197.80,198.95,200.752498146166610709,828014,9167,166225879.00,152105,18.37,6.20,0.25
19-August-2009,199.25,204.60,194.00,195.60,198.958643291487832267,905633,10316,180183513.00,173137,19.12,10.60,-3.65
18-August-2009,194.80,201.00,189.00,197.75,196.560750591375471952,1350242,13931,265404581.00,162536,12.04,12.00,2.95
17-August-2009,201.00,206.65,190.25,192.60,199.987897220977253367,1189231,11120,237831807.00,270451,22.74,16.40,-8.40
14-August-2009,200.45,211.80,196.00,209.05,206.482687982875964429,1891143,19604,390488290.00,362493,19.17,15.80,8.60
13-August-2009,196.40,204.40,195.50,200.45,200.313276890736475278,1123147,11469,224981256.00,257553,22.93,8.90,4.05
12-August-2009,184.90,193.90,183.10,192.10,188.307457667489220784,780901,8372,147049482.00,151897,19.45,10.80,7.20
11-August-2009,187.00,194.40,182.00,187.50,189.135125769435367429,986925,11120,186662184.00,138609,14.04,12.40,0.50
10-August-2009,195.40,198.50,184.10,185.95,191.235085869846193615,990336,11229,189386990.00,195195,19.71,14.40,-9.45
7-August-2009,201.00,208.50,190.10,192.20,199.677531046424161569,1761475,16055,351726979.00,311758,17.70,18.40,-8.80
6-August-2009,205.90,218.00,199.10,203.25,208.897051220187723310,2899267,26947,605648327.00,424662,14.65,18.90,-2.65
5-August-2009,196.00,209.45,194.55,205.15,204.063972083093978155,2564181,23525,523256960.00,466479,18.19,14.90,9.15
4-August-2009,183.00,201.70,182.15,194.15,195.062761818136887191,2508898,22633,489392573.00,446021,17.78,19.55,11.15
3-August-2009,179.80,182.85,177.00,181.90,180.878252146561251381,294075,2949,53191772.00,90697,30.84,5.85,2.10
31-July-2009,184.10,188.40,179.15,181.00,183.906414389492141978,367268,4174,67542941.00,138299,37.66,9.25,-3.10
30-July-2009,179.00,183.85,176.00,181.75,180.311342034681795147,323628,4247,58353799.00,98415,30.41,7.85,2.75
29-July-2009,184.00,186.50,174.75,178.35,179.488707981955397589,424282,4778,76153828.00,123698,29.15,11.75,-5.65
28-July-2009,183.15,190.75,181.60,185.65,187.507284226459005241,914373,8634,171451598.00,187620,20.52,9.15,2.50
27-July-2009,186.00,187.95,180.20,182.15,183.011468730242854197,586813,5173,107393509.00,170645,29.08,7.75,-3.85
24-July-2009,178.00,187.80,175.00,186.05,183.132127193377223079,1388783,13734,254330785.00,323465,23.29,12.80,8.05
23-July-2009,171.00,174.45,170.10,173.45,172.761913691662173882,298627,2791,51591372.00,60806,20.36,4.35,2.45
22-July-2009,173.85,176.60,168.40,169.20,172.462040988040146643,332780,4067,57391918.00,81567,24.51,8.20,-4.65
21-July-2009,174.40,174.50,168.50,170.20,171.410111425776879950,312854,3431,53626339.00,89349,28.56,6.00,-4.20
20-July-2009,173.90,176.60,170.00,173.90,173.494371743367407819,452538,4825,78512796.00,123940,27.39,6.60,0.00
17-July-2009,164.10,174.40,164.10,172.80,171.111223739310498305,736938,8354,126098363.00,218045,29.59,10.30,8.70
16-July-2009,165.00,168.70,161.10,163.55,164.435659741300677666,551451,5073,90678209.00,191986,34.81,7.60,-1.45
15-July-2009,155.80,164.50,154.10,163.40,159.936151237582304280,459727,5673,73526967.00,111035,24.15,10.40,7.60
14-July-2009,146.90,154.50,146.30,153.15,150.699189133435947888,315095,4588,47484561.00,76585,24.31,8.20,6.25
13-July-2009,149.00,149.85,142.25,143.00,144.900751383040211378,193776,2533,28078288.00,66793,34.47,7.60,-6.00
10-July-2009,159.30,161.75,149.60,152.05,157.020212566594383315,336177,4461,52786584.00,73860,21.97,12.15,-7.25
9-July-2009,155.20,158.95,152.50,155.40,156.005605555301749737,218890,2986,34148067.00,44026,20.11,6.45,0.20
8-July-2009,163.05,164.95,155.60,157.20,160.163012452442424487,271513,3546,43486340.00,75658,27.87,9.35,-5.85
7-July-2009,170.80,172.00,162.80,166.30,165.967863038923106228,251984,3520,41821246.00,66502,26.39,9.20,-4.50
6-July-2009,178.25,180.50,165.80,168.55,173.021962540863691368,442936,5408,76637656.00,148387,33.50,14.70,-9.70
3-July-2009,177.00,179.35,175.00,176.70,177.047568531413287589,265827,3598,47064024.00,63096,23.74,4.35,-0.30
2-July-2009,180.00,183.85,176.30,178.05,179.865170614294458796,481935,5207,86683321.00,87814,18.22,7.55,-1.95
1-July-2009,179.75,179.75,173.00,178.00,177.074661905305485975,464293,4881,82214526.00,76811,16.54,6.75,-1.75
30-June-2009,186.00,189.30,176.15,178.15,183.326645082993448087,1041528,10171,190939834.00,193203,18.55,13.15,-7.85
29-June-2009,186.15,188.70,177.00,183.45,183.520915548539857932,1387365,14260,254610495.00,256935,18.52,11.70,-2.70
26-June-2009,172.10,183.90,170.20,181.65,177.500495465706471512,958694,9238,170168660.00,291121,30.37,13.70,9.55
25-June-2009,173.40,174.20,166.10,167.20,170.712753378055173944,261319,3220,44610486.00,93783,35.89,8.10,-6.20
24-June-2009,172.20,173.45,169.00,171.45,171.405286988903247647,307207,3197,52656904.00,96430,31.39,4.45,-0.75
23-June-2009,165.00,172.45,161.20,170.65,166.574374740746163043,409830,4910,68267176.00,93783,22.88,11.25,5.65
22-June-2009,172.80,174.45,166.00,167.45,170.780861425350084323,263865,3123,45063092.00,58163,22.04,8.45,-5.35
19-June-2009,170.00,173.40,162.05,171.10,169.052307998596903707,421924,4897,71327226.00,114484,27.13,11.35,1.10
18-June-2009,177.90,177.90,162.00,167.35,169.283742578813090819,582454,6084,98599993.00,120923,20.76,15.90,-10.55
17-June-2009,189.20,189.20,173.20,175.55,182.244651712243491621,518063,5036,94414211.00,148207,28.61,16.00,-13.65
16-June-2009,182.00,189.50,178.10,188.05,184.875670933805670732,596184,6144,110219917.00,142742,23.94,11.40,6.05
15-June-2009,184.90,192.40,182.50,184.05,188.121893110928742739,628764,6919,118284274.00,156746,24.93,9.90,-0.85
12-June-2009,193.10,197.80,183.55,185.30,191.886552917733776047,964053,10478,184988807.00,253216,26.27,14.25,-7.80
11-June-2009,200.10,203.90,189.55,191.10,196.236660873209973887,1545997,15128,303381289.00,486760,31.49,14.35,-9.00
10-June-2009,184.00,196.60,180.45,196.60,194.016910904765266232,2620735,16005,508466909.00,682574,26.05,16.15,12.60
9-June-2009,171.00,180.55,164.00,178.75,173.628567323573103523,758657,7911,131724528.00,179736,23.69,16.55,7.75
8-June-2009,186.90,188.30,168.55,172.00,180.711763956465882357,1028251,10133,185817052.00,321147,31.23,19.75,-14.90
5-June-2009,188.90,195.50,182.10,183.65,189.779164277097711946,1112474,9588,211124386.00,358272,32.20,13.40,-5.25
4-June-2009,187.00,189.85,182.10,187.35,186.356497878338075186,801023,7825,149275841.00,213106,26.60,7.75,0.35
3-June-2009,185.80,193.00,181.90,186.15,187.791165627302690688,1658386,14717,311430240.00,422958,25.50,11.10,0.35
2-June-2009,187.80,189.00,178.20,183.05,184.102575481784826218,1464658,13391,269647310.00,421396,28.77,10.80,-4.75
1-June-2009,178.00,184.95,173.25,183.15,180.091193088075544331,2178959,18422,392411326.00,528046,24.23,11.70,5.15
29-May-2009,166.00,179.70,166.00,173.25,174.969845003752236910,2217344,18853,387968336.00,658433,29.69,13.70,7.25
28-May-2009,171.90,171.90,163.10,164.65,166.254415637636434940,680819,6821,113189165.00,211538,31.07,8.80,-7.25
27-May-2009,172.00,174.70,166.55,169.10,170.314369665881988239,1651632,12621,281296663.00,468170,28.35,8.15,-2.90
26-May-2009,164.60,174.90,161.75,164.95,169.046910883851043436,4418335,32446,746905883.00,1126705,25.50,13.15,0.35
25-May-2009,147.00,162.60,146.15,161.25,156.678102452992210443,3272330,23214,512702455.00,918679,28.07,16.45,14.25
22-May-2009,142.10,149.90,140.10,144.20,144.314865033920701401,1534756,10341,221488105.00,478058,31.15,9.80,2.10
21-May-2009,149.00,158.85,142.60,145.10,151.950411269072406355,2634893,17974,400373075.00,817670,31.03,16.25,-3.90
20-May-2009,130.00,152.00,129.00,147.35,144.074579576633743385,2049006,15535,295209678.00,558292,27.25,23.00,17.35
19-May-2009,144.10,144.10,120.10,128.90,129.214757972789031083,1287128,11049,166315933.00,469303,36.46,24.00,-15.20
18-May-2009,123.00,134.70,123.00,130.45,130.651295094036543738,29882,132,3904122.00,29327,98.14,11.70,7.45
15-May-2009,114.05,117.00,113.00,113.60,115.034972590132447681,374865,4389,43122585.00,119870,31.98,4.00,-0.45
14-May-2009,112.00,114.95,109.90,112.95,112.912079788566649847,566798,4790,63998341.00,180606,31.86,5.05,0.95
13-May-2009,117.00,121.85,113.55,114.70,118.630287816647596028,933372,8446,110726189.00,281251,30.13,8.30,-2.30
12-May-2009,114.00,117.00,112.00,115.30,114.217130478620474063,454243,4819,51882332.00,117852,25.94,5.00,1.30
11-May-2009,126.85,126.85,113.35,115.25,118.752504830178320681,757736,7239,89983048.00,275118,36.31,13.50,-11.60
8-May-2009,115.25,127.90,115.25,123.00,122.679965649696828699,1573203,15249,193000490.00,334790,21.28,12.65,7.75
7-May-2009,114.05,118.30,113.00,115.85,115.507458089916179832,314960,3918,36380229.00,87555,27.80,5.30,1.80
6-May-2009,116.00,120.90,110.50,112.10,116.705850590705104507,446331,5282,52089439.00,130931,29.33,10.40,-3.90
5-May-2009,116.00,118.00,114.00,115.05,115.844398209444549523,301359,3667,34910752.00,93535,31.04,4.00,-0.95
4-May-2009,111.10,117.25,111.00,114.60,114.077604409938289276,464587,6334,52998972.00,143794,30.95,6.25,3.50
29-April-2009,110.00,111.90,107.50,109.10,109.394473393787657460,279991,3814,30629468.00,99866,35.67,4.40,-0.90
28-April-2009,113.90,114.85,106.25,107.60,111.068333237284610739,399103,5006,44327705.00,113219,28.37,8.60,-6.30
27-April-2009,124.15,124.40,112.10,113.25,118.503669025119611135,982141,9255,116387312.00,355196,36.17,12.30,-10.90
24-April-2009,113.05,123.30,111.60,122.20,118.516283828077674920,843567,9608,99976426.00,226860,26.89,11.70,9.15
23-April-2009,111.10,113.30,106.70,112.10,110.501092234660427916,367595,4693,40619649.00,75574,20.56,6.60,1.00
22-April-2009,119.80,121.00,109.00,109.55,113.907173989132971099,479984,5442,54673621.00,162195,33.79,12.00,-10.25
21-April-2009,113.00,123.80,110.50,116.65,117.210488040795715596,562412,6924,65920585.00,124704,22.17,13.30,3.65
20-April-2009,114.80,118.55,112.20,114.40,115.266139186106477975,215237,3561,24809538.00,53112,24.68,6.35,-0.40
17-April-2009,118.00,121.85,111.10,112.60,117.097499850450694381,317621,4907,37192625.00,66133,20.82,10.75,-5.40
16-April-2009,127.50,131.75,113.45,114.85,124.771090710861949951,620036,7001,77362568.00,170845,27.55,18.30,-12.65
15-April-2009,122.55,132.45,120.00,126.05,127.616683040459127395,746111,7868,95216211.00,227312,30.47,12.45,3.50
13-April-2009,130.10,134.30,122.00,124.20,128.756196456488596515,1237078,13317,159281458.00,314998,25.46,12.30,-5.90
9-April-2009,105.05,125.00,101.50,125.00,114.667810651541535329,3076381,20166,352761874.00,789203,25.65,23.50,19.95
8-April-2009,99.00,106.70,98.10,104.20,104.072409615619772304,1586502,13640,165111086.00,372957,23.51,8.60,5.20
6-April-2009,96.80,103.00,94.70,101.50,99.372400460092243249,1334515,11692,132613959.00,341564,25.59,8.30,4.70
2-April-2009,94.75,96.80,92.55,93.10,94.494458158301214037,1039095,8205,98188719.00,355658,34.23,4.25,-1.65
1-April-2009,88.00,92.85,87.60,91.65,90.551962214739992517,534600,5221,48409079.00,185026,34.61,5.25,3.65
31-March-2009,88.00,89.25,86.70,87.25,88.065371433234502080,147052,1810,12950189.00,70723,48.09,2.55,-0.75
30-March-2009,90.20,94.70,86.50,87.50,91.093078586588883851,249241,2936,22704130.00,105271,42.24,8.20,-2.70
27-March-2009,91.95,94.10,88.00,92.95,91.754490284302122490,383606,5027,35197573.00,134870,35.16,6.10,1.00
26-March-2009,87.50,92.05,85.00,89.00,89.825106596098921179,369385,5117,33180047.00,97123,26.29,7.05,1.50
25-March-2009,85.70,87.15,84.50,86.20,85.901577580269043410,120501,1714,10351226.00,59071,49.02,2.65,0.50
24-March-2009,89.85,91.65,84.60,85.20,88.598358613849167079,437557,4502,38766832.00,172865,39.51,7.05,-4.65
23-March-2009,87.40,92.50,87.00,88.00,88.844087835175055566,317185,3849,28180012.00,130154,41.03,5.50,0.60
20-March-2009,87.70,87.95,85.70,86.00,86.382706338228928002,189422,1355,16362785.00,75590,39.91,2.25,-1.70
19-March-2009,91.00,96.40,86.15,87.15,90.188624002921083415,443671,5212,40014077.00,170053,38.33,10.25,-3.85
18-March-2009,87.45,88.40,86.55,87.10,87.549366403607666290,110875,1100,9707036.00,59393,53.57,1.85,-0.35
17-March-2009,88.25,88.50,85.30,85.95,87.088573913269213296,77043,1217,6709565.00,34932,45.34,3.20,-2.30
16-March-2009,85.50,88.80,85.05,86.85,86.593791471139507203,73093,1162,6329400.00,40352,55.21,3.75,1.35
13-March-2009,84.35,85.65,83.65,84.90,84.529420341509250558,61726,959,5217663.00,33065,53.57,2.00,0.55
12-March-2009,85.50,86.40,82.00,83.05,83.374654024035285084,56001,945,4669064.00,21656,38.67,4.40,-2.45
9-March-2009,82.55,89.40,82.55,84.15,85.465540800562189415,179299,3082,15323886.00,62671,34.95,6.85,1.60
6-March-2009,84.00,84.40,83.00,83.85,83.889063753625871752,32406,627,2718509.00,12475,38.50,1.40,-0.15
5-March-2009,85.00,87.65,83.15,84.65,85.087123732617546550,88667,1550,7544420.00,39499,44.55,4.50,-0.35
4-March-2009,84.15,84.70,82.55,83.25,83.381410166051140368,35471,627,2957622.00,16714,47.12,2.15,-0.90
3-March-2009,85.00,85.40,82.70,84.05,83.900676843089701523,63087,818,5293042.00,40200,63.72,2.70,-0.95
2-March-2009,86.00,86.00,84.00,85.00,85.035250238177284981,49333,615,4195044.00,27231,55.20,2.00,-1.00
27-February-2009,86.90,93.05,85.65,86.55,89.029294735428607775,141493,2528,12597022.00,34596,24.45,7.40,-0.35
26-February-2009,86.50,88.25,84.75,87.85,86.528238357183407395,51083,838,4420122.00,32538,63.70,3.50,1.35
25-February-2009,88.40,89.00,85.55,86.70,87.481825439063331559,37580,759,3287567.00,16629,44.25,3.45,-1.70
24-February-2009,85.55,88.80,85.20,87.30,87.032395027823950278,55348,892,4817069.00,19308,34.88,3.60,1.75
20-February-2009,89.00,89.45,87.00,87.40,87.908424134496393106,33131,766,2912494.00,16280,49.14,2.45,-1.60
19-February-2009,90.00,90.85,89.05,90.05,89.889453347496112932,64959,773,5839129.00,36264,55.83,1.80,0.05
18-February-2009,88.00,91.00,88.00,89.55,89.703557462800264080,78764,1130,7065411.00,36800,46.72,3.00,1.55
17-February-2009,92.05,93.55,89.10,89.60,90.887144106775021868,70878,1496,6441899.00,25800,36.40,4.45,-2.45
16-February-2009,95.00,99.40,94.25,95.40,96.593190890971742023,172093,2943,16623012.00,42317,24.59,5.15,0.40
13-February-2009,96.95,98.00,95.00,95.50,96.571436602825981035,53362,1054,5153245.00,15325,28.72,3.00,-1.45
12-February-2009,94.20,96.90,94.20,95.25,95.501673015918999956,69037,1213,6593149.00,25651,37.16,2.70,1.05
11-February-2009,92.00,95.90,90.50,94.60,93.328453245218398012,82922,1519,7738982.00,34560,41.68,5.40,2.60
10-February-2009,93.00,96.40,91.60,92.90,94.409854560890060543,89522,1753,8451759.00,23783,26.57,4.80,-0.10
9-February-2009,93.90,94.95,92.25,93.50,93.692190748440748440,76960,1046,7210551.00,42446,55.15,2.70,-0.40
6-February-2009,91.00,95.40,89.65,92.75,91.635352414240395548,368501,3102,33767719.00,225223,61.12,5.75,1.75
5-February-2009,89.55,91.80,88.60,89.55,90.183217495724318620,54962,1059,4956650.00,20552,37.39,3.20,0.00
4-February-2009,91.05,91.60,88.00,89.10,89.451727574409501402,97333,1445,8706605.00,42975,44.15,3.60,-1.95
3-February-2009,92.00,92.00,90.20,90.75,91.182121436754498281,29678,668,2706103.00,13817,46.56,1.80,-1.25
2-February-2009,93.10,94.25,89.00,90.90,92.041051194112312230,95929,1695,8829406.00,35108,36.60,5.25,-2.20
30-January-2009,88.50,94.40,88.50,93.10,92.377553251979180335,68589,1455,6336084.00,25034,36.50,5.90,4.60
29-January-2009,95.00,95.00,90.15,90.85,91.984641050763975319,75526,1440,6947232.00,30252,40.06,4.85,-4.15
28-January-2009,91.00,94.50,91.00,93.75,93.116933056262259423,51491,1143,4794684.00,20850,40.49,3.50,2.75
27-January-2009,91.70,93.50,90.50,91.20,91.765902777777777777,43200,1018,3964287.00,17504,40.52,3.00,-0.50
23-January-2009,91.30,93.00,88.00,90.80,90.490497244860923219,60614,1545,5484991.00,25183,41.55,5.00,-0.50
22-January-2009,94.95,95.85,91.95,92.30,93.390337590955935167,64042,1577,5980904.00,24311,37.96,3.90,-2.65
21-January-2009,94.95,96.80,92.60,93.40,94.813648509089716899,61003,1411,5783917.00,18246,29.91,4.20,-1.55
20-January-2009,97.00,98.00,93.70,94.90,95.178213992167480539,144781,2556,13779997.00,50662,34.99,4.30,-2.10
19-January-2009,101.70,101.90,98.00,99.15,100.135572213298431395,100854,1509,10099073.00,43383,43.02,3.90,-2.55
16-January-2009,99.75,102.10,99.00,100.25,100.408820728383304324,91353,1741,9172647.00,26943,29.49,3.10,0.50
15-January-2009,98.95,99.90,96.35,97.60,97.655126449419016182,822226,2020,80294584.00,753161,91.60,3.55,-1.35
14-January-2009,100.50,104.80,99.10,101.20,102.129482951597202269,233189,3698,23815472.00,48695,20.88,5.70,0.70
13-January-2009,100.85,102.80,98.00,98.95,99.851421290665655783,189933,2799,18965080.00,59284,31.21,4.80,-1.90
12-January-2009,103.95,105.70,97.70,101.20,103.015945259768406712,96894,2333,9981627.00,27106,27.97,8.00,-2.75
9-January-2009,111.00,113.45,99.05,101.50,102.970677939857908818,277709,4912,28595884.00,85491,30.78,14.40,-9.50
7-January-2009,128.00,132.90,108.00,113.00,122.066850837161739342,393114,5438,47986188.00,147536,37.53,24.90,-15.00
6-January-2009,133.25,134.00,124.85,126.55,129.246672281480993539,212533,3804,27469183.00,76977,36.22,9.15,-6.70
5-January-2009,133.00,136.95,128.70,133.25,133.327707049453538543,347417,5824,46320312.00,71538,20.59,8.25,0.25
2-January-2009,128.00,132.95,125.80,128.30,129.652050786437879784,244711,5027,31727283.00,52695,21.53,7.15,0.30
1-January-2009,124.00,128.60,123.00,126.45,126.176411306448258762,187539,4073,23662998.00,45189,24.10,5.60,2.45
31-December-2008,119.00,129.25,117.50,121.40,124.087205695459172303,332054,6970,41203653.00,51147,15.40,11.75,2.40
30-December-2008,115.25,118.80,115.10,117.05,116.699648158190095463,79297,1697,9253932.00,21308,26.87,3.70,1.80
29-December-2008,113.00,117.00,107.80,114.45,111.545443770283617891,177175,2970,19763064.00,58089,32.79,9.20,1.45
26-December-2008,119.80,122.50,112.00,113.30,118.057097238276604768,120251,2454,14196484.00,41114,34.19,10.50,-6.50
24-December-2008,123.90,123.90,116.30,117.40,118.734516048144433299,79760,1639,9470265.00,29868,37.45,7.60,-6.50
23-December-2008,129.00,131.75,122.05,123.00,125.964468621467427358,113055,2579,14240913.00,31029,27.45,9.70,-6.00
22-December-2008,124.80,135.00,123.00,130.20,131.914537507357589762,366968,7246,48408414.00,91479,24.93,12.00,5.40
19-December-2008,123.00,129.00,118.80,123.00,124.207996997551574796,167863,3411,20849927.00,46736,27.84,10.20,0.00
18-December-2008,118.00,123.80,115.10,121.60,120.210123095463544805,232340,4767,27929620.00,44850,19.30,8.70,3.60
17-December-2008,130.00,136.40,113.30,116.50,128.961929478286366998,685491,10923,88402242.00,160164,23.36,23.10,-13.50
16-December-2008,105.10,125.15,105.10,125.15,117.704821601132643659,533972,8924,62851079.00,150188,28.13,20.05,20.05
15-December-2008,101.00,106.90,101.00,104.30,104.145871086631376372,195899,3024,20402072.00,60097,30.68,5.90,3.30
